customer_id,customer_segment,registration_date
1,Occasional,2023-09-16
2,Occasional,2023-07-01
3,Occasional,2022-06-17
4,Occasional,2022-10-04
5,New,2023-10-18
6,Occasional,2022-08-13
7,Occasional,2022-02-27
8,Regular,2022-02-02
9,Occasional,2023-02-15
10,Regular,2022-08-05
11,New,2023-08-04
12,New,2022-11-19
13,Regular,2023-05-27
14,Regular,2023-10-21
15,Occasional,2022-09-29
16,Regular,2023-07-29
17,Occasional,2023-08-22
18,Regular,2023-08-21
19,Regular,2022-08-13
20,New,2022-05-22
21,Occasional,2022-04-04
22,Occasional,2022-04-23
23,Regular,2022-06-13
24,Occasional,2023-03-09
25,Occasional,2023-01-30
26,Regular,2023-04-25
27,Occasional,2023-07-21
28,New,2022-01-12
29,Occasional,2022-04-28
30,Occasional,2023-07-04
31,Occasional,2023-10-19
32,Regular,2022-10-28
33,Regular,2023-04-10
34,Premium,2022-09-27
35,New,2022-07-02
36,Occasional,2022-04-19
37,New,2022-11-02
38,Occasional,2023-06-04
39,Occasional,2022-06-06
40,Regular,2022-06-15
41,Occasional,2023-06-28
42,New,2023-09-06
43,Regular,2022-01-20
44,Regular,2023-01-07
45,New,2022-11-11
46,Regular,2022-09-04
47,New,2022-03-22
48,Premium,2023-05-13
49,Occasional,2023-06-30
50,Occasional,2022-05-12
51,Occasional,2023-07-17
52,Regular,2023-06-25
53,New,2023-03-10
54,New,2023-07-07
55,Occasional,2023-12-08
56,Regular,2022-11-16
57,Regular,2023-11-19
58,Occasional,2023-03-25
59,New,2023-04-08
60,Regular,2022-08-19
61,Premium,2022-01-22
62,Occasional,2022-08-24
63,Occasional,2022-01-08
64,Premium,2023-10-09
65,Premium,2022-03-11
66,New,2022-12-05
67,Premium,2022-09-01
68,Regular,2023-05-13
69,Regular,2022-05-16
70,Occasional,2023-08-08
71,Occasional,2022-09-06
72,Occasional,2023-02-21
73,Regular,2022-04-10
74,Occasional,2022-12-29
75,Regular,2023-04-24
76,New,2022-02-25
77,Occasional,2023-10-24
78,Premium,2023-02-17
79,Occasional,2022-04-22
80,Regular,2022-07-14
81,Occasional,2022-05-24
82,Regular,2022-10-13
83,Occasional,2022-03-19
84,Regular,2023-07-18
85,Premium,2023-10-30
86,New,2022-01-16
87,New,2022-08-31
88,Regular,2023-05-13
89,Occasional,2023-02-15
90,New,2022-06-18
91,Regular,2023-02-04
92,Regular,2023-04-11
93,Regular,2023-12-15
94,New,2023-07-24
95,Occasional,2023-05-14
96,Regular,2022-10-31
97,Regular,2022-03-01
98,Occasional,2023-07-10
99,Premium,2022-11-18
100,Premium,2023-08-22
101,Occasional,2023-06-28
102,Regular,2023-06-05
103,Premium,2022-07-10
104,Premium,2022-03-11
105,Occasional,2022-08-29
106,Regular,2023-08-07
107,Regular,2023-09-01
108,Premium,2022-03-25
109,Regular,2023-08-21
110,Occasional,2022-11-20
111,New,2022-07-29
112,Occasional,2022-11-18
113,Regular,2023-02-10
114,Regular,2023-10-23
115,Regular,2022-11-20
116,New,2022-03-16
117,Premium,2023-09-29
118,New,2022-04-13
119,Premium,2022-08-07
120,Occasional,2022-05-16
121,New,2022-03-12
122,New,2023-01-14
123,Regular,2023-03-25
124,Occasional,2023-12-22
125,Regular,2023-11-01
126,Occasional,2023-11-15
127,Occasional,2022-11-03
128,New,2022-04-17
129,New,2022-05-18
130,Regular,2022-04-20
131,Occasional,2022-06-09
132,Regular,2023-09-12
133,Regular,2022-12-18
134,Regular,2023-10-12
135,New,2023-06-02
136,Occasional,2022-02-22
137,Premium,2023-03-10
138,Occasional,2022-02-15
139,Premium,2022-05-14
140,Occasional,2022-09-26
141,Regular,2023-03-29
142,Occasional,2023-03-14
143,Occasional,2022-04-25
144,Premium,2023-12-09
145,New,2023-07-13
146,Premium,2023-01-14
147,Occasional,2022-06-01
148,Regular,2022-02-12
149,Regular,2022-02-10
150,New,2022-08-04
151,Occasional,2023-11-14
152,Regular,2023-07-28
153,New,2023-02-21
154,New,2022-06-08
155,New,2022-08-31
156,New,2022-07-01
157,New,2022-01-26
158,Regular,2022-12-07
159,Occasional,2023-02-26
160,Occasional,2022-09-12
161,Regular,2023-12-20
162,Regular,2022-02-09
163,New,2022-08-16
164,Regular,2023-04-17
165,Regular,2022-08-22
166,Regular,2023-11-07
167,Regular,2022-12-03
168,Regular,2022-03-13
169,New,2022-10-13
170,Regular,2023-06-06
171,Regular,2023-07-04
172,Regular,2022-01-29
173,Regular,2022-09-25
174,Regular,2022-09-29
175,Premium,2023-09-03
176,Regular,2022-11-18
177,Regular,2023-06-08
178,Regular,2023-08-14
179,Regular,2022-02-15
180,Occasional,2022-01-02
181,Occasional,2023-07-06
182,Occasional,2023-11-18
183,Regular,2023-03-18
184,Premium,2023-11-12
185,New,2023-10-01
186,Regular,2022-05-08
187,Occasional,2022-11-04
188,Occasional,2023-11-14
189,Regular,2023-02-17
190,Occasional,2023-07-22
191,Regular,2023-03-07
192,Occasional,2023-01-24
193,Occasional,2022-06-28
194,Occasional,2022-11-05
195,Regular,2022-01-01
196,Regular,2022-08-04
197,Regular,2023-08-17
198,Occasional,2022-11-26
199,Occasional,2023-03-29
200,Occasional,2023-06-08
201,Occasional,2022-06-23
202,Occasional,2022-10-18
203,Occasional,2023-10-11
204,Occasional,2022-04-06
205,Occasional,2022-08-29
206,Occasional,2022-08-19
207,Occasional,2022-05-31
208,Premium,2022-09-08
209,New,2023-09-18
210,Occasional,2022-03-16
211,Occasional,2023-10-07
212,Occasional,2023-12-15
213,Regular,2023-02-14
214,Regular,2023-11-03
215,Occasional,2022-04-20
216,Occasional,2022-08-13
217,Regular,2023-12-14
218,Occasional,2022-02-21
219,Occasional,2022-05-05
220,Occasional,2023-04-21
221,Occasional,2023-07-27
222,Occasional,2023-03-30
223,Occasional,2023-06-01
224,Regular,2023-07-16
225,Regular,2022-06-12
226,Occasional,2023-05-02
227,Occasional,2022-09-11
228,Occasional,2022-10-11
229,Occasional,2023-06-18
230,Occasional,2022-09-02
231,Regular,2022-03-21
232,Occasional,2022-08-29
233,Regular,2022-11-24
234,New,2022-03-24
235,Regular,2022-08-25
236,Regular,2022-06-06
237,Occasional,2022-03-07
238,Regular,2022-12-05
239,Occasional,2023-03-02
240,Premium,2023-03-07
241,Regular,2023-08-22
242,New,2022-01-21
243,New,2023-08-13
244,Regular,2022-01-07
245,New,2022-11-02
246,Occasional,2023-03-06
247,Occasional,2023-07-14
248,Occasional,2022-08-14
249,Occasional,2022-10-07
250,Regular,2022-01-30
251,Regular,2023-11-16
252,Occasional,2023-02-19
253,Occasional,2023-04-24
254,New,2023-09-30
255,Occasional,2023-02-08
256,Occasional,2023-11-10
257,Premium,2023-10-21
258,Regular,2023-04-18
259,Regular,2022-09-24
260,Regular,2022-08-05
261,Occasional,2022-12-12
262,Occasional,2023-01-24
263,Regular,2023-03-08
264,Regular,2022-03-25
265,Occasional,2023-07-07
266,Premium,2022-12-25
267,Regular,2022-03-12
268,Occasional,2023-10-30
269,Premium,2022-02-01
270,New,2022-07-24
271,Occasional,2023-09-29
272,Regular,2022-05-10
273,Occasional,2022-04-28
274,Occasional,2022-08-12
275,Occasional,2022-09-20
276,Occasional,2022-06-21
277,Occasional,2022-04-28
278,Occasional,2022-06-17
279,New,2022-04-21
280,Occasional,2022-11-16
281,Occasional,2023-01-20
282,Regular,2022-07-23
283,Premium,2023-12-09
284,Occasional,2022-09-06
285,Regular,2022-11-05
286,New,2023-09-07
287,Occasional,2023-08-03
288,Occasional,2022-12-22
289,Occasional,2023-11-09
290,Regular,2023-06-03
291,Occasional,2022-01-13
292,Occasional,2023-05-17
293,Regular,2023-01-06
294,Occasional,2023-04-16
295,Occasional,2023-03-22
296,Regular,2023-06-19
297,New,2022-10-04
298,Occasional,2023-07-06
299,Occasional,2023-04-22
300,Regular,2023-08-30
301,Regular,2022-09-09
302,Occasional,2022-03-30
303,Regular,2023-04-07
304,Regular,2023-04-21
305,Occasional,2023-11-16
306,Regular,2022-01-30
307,Occasional,2022-11-29
308,Regular,2022-08-06
309,Regular,2022-09-22
310,Regular,2023-09-03
311,Occasional,2022-10-10
312,Occasional,2023-06-14
313,New,2022-03-29
314,Regular,2023-02-21
315,Occasional,2022-09-04
316,Occasional,2023-10-24
317,Occasional,2023-04-04
318,Occasional,2022-04-06
319,Regular,2023-02-19
320,Occasional,2022-11-10
321,Occasional,2023-01-13
322,Occasional,2023-06-28
323,Regular,2023-07-18
324,Regular,2023-12-21
325,Occasional,2022-11-10
326,Regular,2022-05-04
327,Occasional,2022-11-20
328,Regular,2023-07-03
329,New,2023-12-08
330,Regular,2022-08-10
331,Occasional,2022-10-11
332,Occasional,2023-06-22
333,Occasional,2022-04-13
334,Occasional,2022-10-31
335,Regular,2022-07-03
336,Regular,2023-12-27
337,Occasional,2022-10-08
338,Premium,2022-02-25
339,Occasional,2023-12-16
340,New,2023-10-16
341,New,2023-05-18
342,Regular,2022-01-13
343,Occasional,2023-04-26
344,Occasional,2022-12-15
345,Regular,2022-02-22
346,Regular,2023-05-05
347,Regular,2022-03-08
348,Regular,2022-03-17
349,Occasional,2023-12-04
350,Premium,2022-06-02
351,Occasional,2022-11-08
352,Premium,2022-09-12
353,Regular,2023-03-03
354,Occasional,2023-09-26
355,Regular,2023-06-20
356,Regular,2023-03-30
357,Regular,2023-08-26
358,New,2022-11-09
359,Occasional,2022-03-03
360,Occasional,2022-04-12
361,New,2022-08-01
362,Occasional,2022-09-28
363,Occasional,2022-06-10
364,Regular,2023-07-20
365,Premium,2022-01-03
366,Regular,2023-12-07
367,Occasional,2022-10-26
368,Premium,2022-10-23
369,Occasional,2023-12-21
370,New,2022-03-14
371,Occasional,2022-09-28
372,Occasional,2023-10-03
373,Occasional,2022-07-22
374,Regular,2023-07-12
375,Regular,2022-06-02
376,New,2022-05-26
377,Premium,2022-06-19
378,Occasional,2023-09-02
379,Occasional,2023-08-06
380,New,2023-03-26
381,Regular,2023-12-07
382,Regular,2023-02-17
383,New,2023-05-28
384,Occasional,2023-03-25
385,Premium,2022-02-10
386,New,2022-11-27
387,Occasional,2022-01-27
388,Premium,2023-11-22
389,Occasional,2023-08-13
390,Occasional,2022-01-22
391,New,2023-11-20
392,Occasional,2023-08-14
393,Premium,2022-06-29
394,Occasional,2023-10-30
395,Regular,2022-10-12
396,Regular,2023-08-23
397,Regular,2023-05-19
