transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_percent,revenue,cost,profit,payment_method
1,2022-01-01,1718,24,8,4,14.04,0.0,56.16,29.64,26.52,Credit Card
2,2022-01-01,843,15,6,1,428.32,0.0,428.32,240.02,188.3,Credit Card
3,2022-01-01,1779,22,4,1,99.41,10.0,99.41,52.9,46.51,Digital Wallet
4,2022-01-01,1372,17,2,1,253.83,10.0,253.83,168.46,85.37,Credit Card
5,2022-01-01,970,22,1,2,110.46,0.0,220.92,105.8,115.12,Credit Card
6,2022-01-01,1914,6,8,1,445.16,0.0,445.16,267.34,177.82,Cash
7,2022-01-01,154,25,5,1,35.43,0.0,35.43,19.01,16.42,Credit Card
8,2022-01-01,457,18,4,2,166.95,0.0,333.9,168.68,165.22,Credit Card
9,2022-01-01,910,26,8,1,24.81,0.0,24.81,12.92,11.89,Credit Card
10,2022-01-01,244,16,7,2,409.35,0.0,818.7,469.1,349.6,Credit Card
11,2022-01-01,1142,18,5,1,166.95,0.0,166.95,84.34,82.61,Cash
12,2022-01-01,1152,7,6,2,24.78,0.0,49.56,20.8,28.76,Credit Card
13,2022-01-01,112,27,8,1,20.68,0.0,20.68,12.28,8.4,Debit Card
14,2022-01-01,745,23,4,1,13.19,0.0,13.19,6.9,6.29,Credit Card
15,2022-01-01,728,27,6,2,18.61,10.0,37.22,24.56,12.66,Debit Card
16,2022-01-01,94,6,7,1,400.64,10.0,400.64,267.34,133.3,Credit Card
17,2022-01-01,1252,7,7,1,21.06,15.0,21.06,10.4,10.66,Credit Card
18,2022-01-01,1689,26,7,1,24.81,0.0,24.81,12.92,11.89,Credit Card
19,2022-01-01,1297,27,8,2,20.68,0.0,41.36,24.56,16.8,Debit Card
20,2022-01-01,1207,17,1,1,282.03,0.0,282.03,168.46,113.57,Debit Card
21,2022-01-01,887,27,3,1,17.58,15.0,17.58,12.28,5.3,Debit Card
22,2022-01-01,356,24,6,2,14.04,0.0,28.08,14.82,13.26,Debit Card
23,2022-01-01,788,14,4,4,62.55,15.0,250.21,150.04,100.17,Credit Card
24,2022-01-01,1974,11,3,4,165.05,0.0,660.2,310.16,350.04,Credit Card
25,2022-01-01,1234,23,6,3,12.53,5.0,37.59,20.7,16.89,Debit Card
26,2022-01-01,1916,18,5,2,166.95,0.0,333.9,168.68,165.22,Debit Card
27,2022-01-01,1887,22,3,1,99.41,10.0,99.41,52.9,46.51,Debit Card
28,2022-01-01,1422,21,6,1,289.21,0.0,289.21,131.47,157.74,Debit Card
29,2022-01-01,1194,19,5,3,302.43,10.0,907.28,516.0,391.28,Cash
30,2022-01-01,866,26,7,1,24.81,0.0,24.81,12.92,11.89,Credit Card
31,2022-01-01,1373,2,3,1,469.16,10.0,469.16,298.35,170.81,Digital Wallet
32,2022-01-01,1400,9,5,1,59.68,0.0,59.68,27.39,32.29,Credit Card
33,2022-01-01,1109,2,4,1,521.29,0.0,521.29,298.35,222.94,Debit Card
34,2022-01-01,1150,13,5,1,431.9,10.0,431.9,256.1,175.8,Debit Card
35,2022-01-01,97,13,6,1,383.91,20.0,383.91,256.1,127.81,Digital Wallet
36,2022-01-01,111,1,8,2,1013.23,0.0,2026.46,1119.62,906.84,Cash
37,2022-01-01,1867,21,4,2,274.75,5.0,549.5,262.94,286.56,Cash
38,2022-01-01,1975,7,2,1,24.78,0.0,24.78,10.4,14.38,Credit Card
39,2022-01-01,356,24,7,1,14.04,0.0,14.04,7.41,6.63,Credit Card
40,2022-01-01,542,5,1,1,647.63,10.0,647.63,397.92,249.71,Credit Card
41,2022-01-01,1454,5,1,1,611.65,15.0,611.65,397.92,213.73,Cash
42,2022-01-01,1281,20,6,2,348.14,0.0,696.28,353.52,342.76,Credit Card
43,2022-01-01,1450,11,2,1,132.04,20.0,132.04,77.54,54.5,Cash
44,2022-01-01,327,14,6,1,73.59,0.0,73.59,37.51,36.08,Credit Card
45,2022-01-01,437,22,4,1,110.46,0.0,110.46,52.9,57.56,Digital Wallet
46,2022-01-01,1267,17,1,1,267.93,5.0,267.93,168.46,99.47,Credit Card
47,2022-01-01,709,15,4,1,406.9,5.0,406.9,240.02,166.88,Digital Wallet
48,2022-01-01,1398,11,2,1,148.55,10.0,148.55,77.54,71.01,Credit Card
49,2022-01-01,1107,24,6,1,11.93,15.0,11.93,7.41,4.52,Debit Card
50,2022-01-01,1042,15,4,1,428.32,0.0,428.32,240.02,188.3,Credit Card
51,2022-01-01,169,4,1,1,1083.55,20.0,1083.55,756.72,326.83,Debit Card
52,2022-01-01,432,22,7,2,110.46,0.0,220.92,105.8,115.12,Cash
53,2022-01-01,1869,24,2,2,13.34,5.0,26.68,14.82,11.86,Debit Card
